id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason,fs,tr
49,long,2025-02-24T20:00:00+00:00,2025-02-24T22:00:00+00:00,2648.6,2582.6689352769804,2.1651,4.5305,-147.2778,SL,-1.1909,-1.1912
50,long,2025-02-25T08:30:00+00:00,2025-02-26T05:30:00+00:00,2396.06,2481.1498366175206,2.2089,4.3093,183.6456,SL,-1.404,-1.4878
51,long,2025-02-26T06:30:00+00:00,2025-02-26T09:30:00+00:00,2499.95,2488.88,2.3375,4.6646,-30.5407,Replace,-0.4447,-0.4985
52,long,2025-02-26T09:30:00+00:00,2025-02-26T12:30:00+00:00,2488.88,2430.1755824630004,2.3111,4.5474,-140.2192,SL,-1.0382,-1.1983
53,long,2025-02-27T21:30:00+00:00,2025-02-28T01:30:00+00:00,2281.47,2202.973255005831,2.3368,4.1917,-187.6229,SL,-1.8531,-1.9425
54,long,2025-03-01T01:30:00+00:00,2025-03-01T11:00:00+00:00,2252.17,2175.0258812173333,2.1173,3.7495,-167.0867,SL,0.7262,0.5395
55,long,2025-03-02T03:00:00+00:00,2025-03-03T00:00:00+00:00,2218.7,2481.017966777553,1.9233,3.6156,500.9006,SL,0.1964,0.0694
56,long,2025-03-04T14:30:00+00:00,2025-03-05T00:30:00+00:00,2077.61,2160.638426149736,2.7772,4.7082,225.8784,SL,-0.6074,-0.821
57,long,2025-03-07T01:30:00+00:00,2025-03-09T16:30:00+00:00,2174.41,2075.432965621352,2.9652,5.0407,-298.5274,SL,-0.6295,-0.72
58,long,2025-03-10T09:30:00+00:00,2025-03-10T14:00:00+00:00,2100.93,2023.9928921119015,2.6426,4.3602,-207.6742,SL,1.2068,0.9689
59,long,2025-03-11T01:30:00+00:00,2025-03-12T00:00:00+00:00,1857.4,1917.3224451732021,2.6537,4.0068,155.0094,SL,-1.1593,-1.1674
60,short,2025-03-11T17:30:00+00:00,2025-03-13T19:00:00+00:00,1903.96,1855.4930346297701,2.5888,3.893,121.5783,SL,0.7283,0.7574
61,long,2025-03-12T16:00:00+00:00,2025-03-14T10:30:00+00:00,1864.92,1894.0268458110384,2.8923,4.3488,79.8369,SL,-1.3033,-1.3249
